Date,Cash,Holdings,Total Assets
2010-04-08,374686.4505060613,654897.7591397166,1029584.2096457779
2010-04-09,374348.0554970205,660051.011800319,1034399.0672973394
2010-04-12,373697.5857466161,662029.7064639628,1035727.2922105789
2010-04-13,373329.5982955396,663724.5253231823,1037054.123618722
2010-04-14,372872.5489331186,672881.2105971873,1045753.7595303059
2010-04-15,371809.76006659865,673409.9682027102,1045219.7282693088
2010-04-16,371135.33284398913,664318.6704317927,1035454.0032757819
2010-04-19,370179.61534807086,665694.5642656088,1035874.1796136796
2010-04-20,369961.2170936763,672978.8489847779,1042940.0660784543
2010-04-21,369502.8999495208,674387.5760632753,1043890.4760127962
2010-04-22,368621.9474723041,680465.4548318982,1049087.4023042023
2010-04-23,367798.4665739238,687162.9570918083,1054961.4236657321
2010-04-26,366710.4882129133,684915.854044795,1051626.3422577083
2010-04-27,366400.8583110273,669198.7707051039,1035599.6290161312
2010-04-28,366285.2855835855,672750.6677381992,1039035.9533217847
2010-04-29,366075.98524960876,687077.2457671762,1053153.231016785
2010-04-30,364626.29449912906,675917.9668144584,1040544.2613135874
2010-05-03,364374.1961514652,686914.9942568839,1051289.190408349
2010-05-04,363267.7429227531,670451.9138877988,1033719.6568105519
2010-05-05,363247.5427274406,663745.7225389481,1026993.2652663887
2010-05-06,363148.5720424354,643332.4845593572,1006481.0566017926
2010-05-07,363126.2997684181,631083.232055366,994209.5318237841
2010-05-10,363122.32413598895,662117.5282080173,1025239.8523440063
2010-05-11,362937.7917856872,659392.6165075898,1022330.408293277
2010-05-12,362556.6284532249,671278.4434360862,1033835.0718893111
2010-05-13,361597.1799287498,663705.3326026797,1025302.5125314295
2010-05-14,361130.74202010036,651482.9948877692,1012613.7369078696
2010-05-17,360946.8258962333,652930.5520324707,1013877.377928704
2010-05-18,360777.70843979716,643521.409227252,1004299.1176670492
2010-05-19,360620.5264491737,639354.8035920858,999975.3300412595
2010-05-20,360497.0434078872,614296.6251797676,974793.6685876548
2010-05-21,360497.0434078872,624554.5417771935,985051.5851850808
